glyph-set-id,exonym,endonym,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
*Amar-999,Amaragannada,"ಅಮರಗನಡ ಲಿಪಿ , ಹೂಂದಮರಗನಡ ಲಿಪಿ , Gurubodhe",,,,,https://www.unicode.org/L2/L2017/17186r-intro-amaragannada.pdf
*Arac-160,Arabic Crown,حروف التاج,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Arab,,,,https://www.unicode.org/L2/L2024/24110-arabic-crown-letters.pdf
*Arcg-200,"Archaic Greek , Chalcidian , Ionic , Attic","Αρχαϊκός Ελληνικά , Ἰωνία",https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Grek,https://en.wikipedia.org/wiki/Archaic_Greek_alphabets,https://omniglot.com/writing/greek.htm,,
*Bacg-200,"Aryao , Bactrian , Bactria",Αριαο,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Grek,https://en.wikipedia.org/wiki/Bactrian_language,https://www.omniglot.com/writing/bactrian.htm,,https://www.unicode.org/L2/L2002/02056-n2411.pdf
*Chal-999,Badami Chalukya,ಬಾದಾಮಿ ಚಾಲುಕ್ಯ,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa31,https://en.wikipedia.org/wiki/Chalukya_dynasty,,,
*Bima-367,"Bima , Bimanese",Nggahi Mbojo,,https://en.wikipedia.org/wiki/Bima_language,https://www.omniglot.com/writing/bima.htm,,https://www.unicode.org/L2/L2023/23070-bima-script.pdf
*Woli-160,Buri Wolio,بُرِ وٚلِيٚ,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Arab,https://en.wikipedia.org/wiki/Buri_Wolio,,,
*Chaw-998,"Cham (Western) , Western Cham",Ka-Kha,,https://en.wikipedia.org/wiki/Cham_script,https://omniglot.com/writing/cham.htm,,https://www.unicode.org/L2/L2022/22095-western-cham.pdf
*Devs-321,"Devasesa , Devāśeṣa",दॆवाशॆष,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Takr,https://en.wikipedia.org/wiki/Takri_script,https://omniglot.com/writing/takri.htm,,https://www.unicode.org/L2/L2009/09424-takri.pdf#page=51
*Diwa-160,"Diwani (Arabic) , Riq'a , Jeli",Diwani,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Arab,https://en.wikipedia.org/wiki/Diwani,,,
