glyph-set-id,exonym,endonym,typeface,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
*Achi-999,A-chik Tokbirim,,traditional-script,,,https://omniglot.com/writing/achiktokbirim.htm,https://www.endangeredalphabets.net/alphabets/a-chik-tok-birim/,
*Haus-999,Adaré Salifou (Hausa) ∞ Salifou Hausa ∞ Gobiri,Salifou,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa16,,,,
*Adig-999,Adi Ganga,ಆದಿ ಗಂಗಾ,traditional-font-variant,,,,,
*Adis-999,Adinkra Symbol,,traditional-script,,,,,
*Aima-999,Aima,,traditional-script,,,https://omniglot.com/writing/aima.htm,,
*Ajam-160,Ajami ∞ Ajamiyya,عجمي ∞ عجمية,traditional-font-variant,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Arab,https://en.wikipedia.org/wiki/Ajami_script,,,
*Umag-999,Aka Umagbara,Aka Uli,traditional-script,,,,,https://www.unicode.org/L2/L2023/23203-update-african-scripts.pdf#page=12
*Akag-999,Akagu ∞ Neo-Nsibidi,,,,,,,
*Akka-020,Akkadian,𒀝𒅗𒁺𒌑,traditional-font-variant,,,,,
*Alch-998,Alchemical Symbols,,semasiographic-pictographical-formal,,,,,https://en.wikipedia.org/wiki/Alchemical_Symbols_(Unicode_block)
*Alek-999,Alekanovo,,unclassified,,https://en.wikipedia.org/wiki/Alekanovo_inscription,,,
*Alja-160,Aljamiado ∞ Morisco,Aljamía,traditional-font-variant,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Arab,https://en.wikipedia.org/wiki/Aljamiado,,,
*Amas-999,Amasaba,,,,,,,
*Abim-999,Ancient Bima ∞ Old Bimanese ∞ Makassaarsch ∞ Catatan Rafless ∞ Catatan Zollinger,Aksara Bima Lama ∞ Aksara Bima Kuna ∞ Buku Mulok Bima ∞ Dompu,,,,,,https://www.unicode.org/notes/tn35/indonesian-philippine.pdf#page=43
*Musg-998,Ancient Greek Musical Notation,,traditional-notation,,https://en.wikipedia.org/wiki/Ancient_Greek_Musical_Notation,,,
*Angk-999,Angkorian Khmer,,,,,,,
*Ansa-211,Anglo-Saxon ∞ Anglo-Saxon Runes ∞ Anglo Frisian ∞ Anglo-Frisian runes,,,,https://en.wikipedia.org/wiki/Anglo-Saxon_runes,https://omniglot.com/writing/futhorc.htm,,
*Ansh-999,Anshu,Khortha Lipi,,,,,https://www.endangeredalphabets.net/anshu/,
*Sils-999,Apache Shaman ∞ Western Apache Shaman ∞ Silas John Symbols,,,,,,,
Arab-160,Arabic (Naskh),اَلْعَرَبِيَّةُ ∞ al-ʿarabiyyah,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Arab,https://en.wikipedia.org/wiki/Arabic_script,https://www.omniglot.com/writing/arabic.htm,,https://en.wikipedia.org/wiki/Arabic_script_in_Unicode
*Miao-999,Archaic Miao Square ∞ Archaic Miao Square Script,,traditional-script,,,,,
*Areb-160,Arebica ∞ Аребица,"عربٖىڄا ,آرەبـٖٮڄآ",traditional-font-variant,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Arab,https://en.wikipedia.org/wiki/Arebica,,,
*Ariy-999,Ariyaka,,traditional-script,,,https://omniglot.com/writing/ariyaka.php,,
*Arle-999,Arleng,Karbi,,,,https://www.omniglot.com/writing/arleng.htm,,
*Asaw-999,Asawansiguiru,Soninke,,,,,https://www.endangeredalphabets.net/asawansiguiru/,
*Ashc-350,Asho Chin,,traditional-font-variant,,https://en.wikipedia.org/wiki/Sh%C3%B6_language,,,
Zodi-993,Astrological symbols (Zodiac) ∞ Constellation symbols,,,,https://en.wikipedia.org/wiki/Astrological_symbols,,,https://www.unicode.org/L2/L2024/24235-constellation-symbols.pdf
*Ande-999,Aymara ∞ Andes Pictograms,,,,,,,https://www.unicode.org/notes/tn4/everson-iuc21pap.pdf#page=21
*Ayut-999,Ayutthaya,,,,,,,
*Azte-999,Aztec Numerals,,traditional-numeral,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa26,https://en.wikipedia.org/wiki/Aztec_script#Numerals,,,
*Azte-999,Aztec Pictograms,,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa26,https://en.wikipedia.org/wiki/Aztec_script,,,https://www.unicode.org/notes/tn4/everson-iuc21pap.pdf#page=19
*Babo-999,Babao Songbook,,,,,,https://www.endangeredalphabets.net/babao-songbook-script/,
*Baba-998,Baburi ∞ mašhad ∞ bāburī,Khatt-i Baburi,traditional-cipher,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa60,,,,https://www.unicode.org/L2/L2011/11341-khatt-i-baburi.pdf
*Badl-370,Badlit,Bisaya ∞ Visayan ∞ Sulat Bisaya ∞ Suwat Bisaya ∞ Baybayin Bisaya,traditional-font-variant,,,https://www.omniglot.com/writing/badlit.htm,https://www.endangeredalphabets.net/badlit/,
*Bagt-999,Bagatha,,,,,https://www.omniglot.com/writing/bagatha.htm,,
*Bagi-999,Bagoi,बागोई पोथी (सांचा) ∞ चोई,,,,,https://www.endangeredalphabets.net/bagoi/,
*Banj-999,Banjara,Nayak ∞ Naik ∞ Lamans ∞ Lambadi ∞ Binjara,traditional-script,,https://en.wikipedia.org/wiki/Banjara,,https://www.endangeredalphabets.net/banjara/,
*Banp-999,Banpo Symbols,Yangshao,unclassified,,https://en.wikipedia.org/wiki/Banpo_symbols,,,
*Bast-217,Bastarda,,traditional-font-variant,,https://en.wikipedia.org/wiki/Bastarda,,,
*Bash-999,Ba–Shu,,unclassified,,https://en.wikipedia.org/wiki/Ba%E2%80%93Shu_scripts,,,
*Basu-999,Ba–Shu ∞ Ba Shu,,unclassified,,https://en.wikipedia.org/wiki/Ba%E2%80%93Shu_scripts,,,
*Bene-215,Beneventan,,traditional-font-variant,,https://en.wikipedia.org/wiki/Beneventan_script,,,
*Bhat-999,Bhatakshri,भटाक्षरी ∞ भट्टाक्षरी लिपि,,,,,https://www.endangeredalphabets.net/bhatakshri/,
*Bhau-300,Bhattiprolu,,traditional-font-variant,,https://en.wikipedia.org/wiki/Bhattiprolu_script,,,
*Bhot-999,Bhotiya ∞ Nepali-Bhotiya,नेपाल भोट,,,,,,
*Khor-999,Bhujel Kharpa,Khorpa ∞ Bhujel Lipi,,,,,,
*Bhuj-998,Bhujinmol ∞ Bhujimol ∞ Bhujimol ∞ Bhujiṁmol,भुजिमोल ∞ भुजिंमोल,traditional-font-variant,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa74,https://en.wikipedia.org/wiki/Bhujimol_script,https://omniglot.com/writing/bhujimol.htm,,https://www.unicode.org/L2/L2014/14283-bhujinmol.pdf
*Biko-999,Bikol ∞ Iskriturang Basahan,Guhit ∞ Súrat Bikolnon ∞ Surat Basahan,,,https://bcl.wikipedia.org/wiki/Iskriturang_Guhit#/media/Ladawan:Several_Sulats_of_the_Philippines.jpg,https://www.omniglot.com/writing/basahan.htm,,
*Bbim-998,Bima Baru,Aksara Bima Baru,traditional-font-variant,,"https://en.m.wikipedia.org/wiki/File:Bima_Baru_Aksara_Bima_Baru,_disebut_Tunti_Bou.jpg",,,
*Blac-217,Blackletter ∞ Gothic Type,Gothic ∞ Gothic minuscule,traditional-font-variant,,https://en.wikipedia.org/wiki/Blackletter,,,
*Bola-370,Bolaang,Aksara Bolaang Mongondow ∞ Aksara Watugirot,traditional-font-variant,,,,,
*Bond-999,Bonda,Aksara Bonda ∞ Aksara Suwawa,,,https://id.wikipedia.org/wiki/Aksara_Bonda,,,
*Bora-999,Borama,Gadabuursi,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa85,https://en.wikipedia.org/wiki/Gadabuursi_Somali_Script,https://www.omniglot.com/writing/borama.htm,,
*Bosn-220,Bosnian Cyrillic,Bosančica,traditional-font-variant,,https://en.wikipedia.org/wiki/Bosnian_Cyrillic,,,
*Bowe-999,Bowen (Lao Baiwen),,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qabe,,,,
*Boyd-999,Boyd Syllabic shorthand,,,,https://en.wikipedia.org/wiki/Boyd%27s_syllabic_shorthand,,,
*Bozo-999,Bozo Ideogram,,,,,,https://www.endangeredalphabets.net/bozo-ideograms/,
*Bron-999,Bronze ∞ Shang Bronze ∞ Bronze Script,金文,,,https://en.wikipedia.org/wiki/Chinese_bronze_inscriptions,,,
*Buda-999,Buda,Aksara Buda ∞ Gunung,,,https://en.wikipedia.org/wiki/Buda_script,,,
*Byar-999,Byari ∞ Beary,ಬ್ಯಾರಿ,traditional-script,,,https://omniglot.com/writing/bearyscript.htm,https://www.endangeredalphabets.net/byari/,
*Bybl-999,Byblos,,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa29,https://en.wikipedia.org/wiki/Byblos_syllabary,,,https://www.unicode.org/notes/tn4/everson-iuc21pap.pdf#page=19
*Musb-998,Byzantine Musical Symbols,,traditional-notation,,https://en.wikipedia.org/wiki/Byzantine_Musical_Symbols,,,
*Caca-361,Cacarakan ∞ Cacarakan Sunda,ꦕꦫꦏ,traditional-font-variant,,https://en.wikipedia.org/wiki/Javanese_script#Usage_in_other_languages,,,
*Caca-999,Cacaxtla ∞ Cholula,,traditional-script,,,,,
*Cala-999,Calatagan,,,,,,,https://www.unicode.org/notes/tn35/indonesian-philippine.pdf#page=12
*Musc-998,Cantonese Musical Symbols ∞ Flute Musical Notation ∞ Chinese Flute Musical Notation ∞ Lute Musical Notation,,traditional-notation,,,,,https://www.unicode.org/L2/L2024/24071r2-ext-sz-num.pdf
*Caro-215,Carolingian,,traditional-font-variant,,https://en.wikipedia.org/wiki/Carolingian_minuscule,https://www.omniglot.com/writing/carolingian.htm,,
*Cave-999,Cave Doodle ∞ Cave Art,,,,,,,
*Cayt-999,Caytu Wolof,Caytu,,,,,https://www.endangeredalphabets.net/caytu-wolof/,
*Malc-363,Central Malay,,traditional-font-variant,,,,,https://www.unicode.org/notes/tn35/indonesian-philippine.pdf#page=18
*Chak-998,Chak,,traditional-script,,,,https://www.endangeredalphabets.net/chak/,http://fontpad.co.uk/Documents/Chak_proposal.pdf
*Chan-999,Chandwani,चंदवाणी लिपि,,,,,https://www.endangeredalphabets.net/chandwani/,
*Cher-999,Cher Vang Hmong ∞ Flower Cloth script ∞ Paj Ntaub Hmong,Ntawv Txawj Vaag ∞ Ntawv Txawjvaag ∞ Txawj Vaag Koo ∞ Ntawv Paj Ntaub Hmong ∞ Ntawv Paj Ntaub,,,,,,https://www.unicode.org/L2/L2016/16070-n4710-cher-vang-hmong.pdf
*Cher-999,Cher Vang Hmong ∞ Flower Cloth script ∞ Paj Ntaub Hmong,Ntawv Txawj Vaag ∞ Ntawv Txawjvaag ∞ Txawj Vaag Koo ∞ Ntawv Paj Ntaub Hmong ∞ Ntawv Paj Ntaub,,,,,,https://www.unicode.org/L2/L2016/16070-n4710-cher-vang-hmong.pdf
Hani-500,Chinese Han,Hànzì ∞ Kanbun ∞ 中文字 ∞ ㄓㄨㄥ ㄨㄣˊ ㄗˋ ∞ 漢文,,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Hani,https://en.wikipedia.org/wiki/Chinese_characters,,,
*Chol-999,Chola,,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa32,,,,https://www.unicode.org/notes/tn4/everson-iuc21pap.pdf#page=14
*Chuv-999,Chuvash,,traditional-numeral,,https://en.wikipedia.org/wiki/Chuvash_numerals,,,
*Chux-999,Chuxiong ∞ Yi (Chuxiong),,,,,,,
*Chuh-999,Chữ Hán,,,,https://en.wikipedia.org/wiki/Ch%E1%BB%AF_H%C3%A1n,,,
*Chun-500,Chữ Nôm,𡨸喃,traditional-font-variant,,https://en.wikipedia.org/wiki/Ch%E1%BB%AF_N%C3%B4m,,,
*Cler-500,Clerical ∞ Chancery ∞ lìshū ∞ reishotai ∞ lệ thư,隸書 ∞ 隶书 ∞ 隷書体 ∞ 예서 ∞ 례셔,traditional-font-variant,,https://en.wikipedia.org/wiki/Clerical_script,,,
*Conc-999,Conch ∞ Shankha script ∞ Shell,शंखलिपि ∞ Shankha ∞ Shankhalipi,traditional-script,,https://en.wikipedia.org/wiki/Shankhalipi,,,
*Copi-999,Copiale,,artificial-cipher,,,,,
*Copp-215,Copperplate,,artificial-font-variant,,https://en.wikipedia.org/wiki/Copperplate_script,,,
*Cotz-999,Cotzumalhuapa Hieroglyphs,,unclassified,,https://en.wikipedia.org/wiki/Cotzumalhuapa,,,
*Rodc-998,Counting Rod,,traditional-numeral,,,,,
*Cret-999,Cretan Hieroglyph,Cretan Hieroglyph,traditional-script,,https://en.wikipedia.org/wiki/Cretan_hieroglyphs,,,
*Cues-999,Cued speech,,,,https://en.wikipedia.org/wiki/Cued_speech,,,
Xsux-020,Cuneiform ∞ Sumero-Akkadian,,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Xsux,https://en.wikipedia.org/wiki/Cuneiform,,,https://en.wikipedia.org/wiki/Cuneiform_(Unicode_block)
Xsux-020,Cuneiform ∞ Sumero-Akkadian ∞ Babylon,,traditional-numeral,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Xsux,https://en.wikipedia.org/wiki/Cuneiform,,,https://en.wikipedia.org/wiki/Cuneiform_(Unicode_block)
*Dadi-999,Dadiwan Symbols,,unclassified,,,,,
*Daki-999,Dakini,Naga,,,,,,
*Dako-999,Dakota,Lakota ∞ Nakota,,,,,,
*Dale-999,Dalecarlian runes,,,,https://en.wikipedia.org/wiki/Dalecarlian_runes,,,
*Dama-999,Damaidi Symbols,,unclassified,,,,,
*Dawe-999,Dawenkou symbols,Dawenkou,unclassified,,https://en.wikipedia.org/wiki/Dawenkou_symbols,,,
*Daza-999,Dazanga,Dazaga-Gorane,,,,,,https://www.unicode.org/L2/L2023/23203-update-african-scripts.pdf#page=5
*Deaf-999,DeafWrite ∞ DeafBlind ∞ Lorm Deafblind Manual Alphabet ,,,,,,,
*Deda-240,Dedabruli ∞ Maternal Hand,დედაბრული ანბანი,traditional-font-variant,,,,,
*Dhur-999,Dhurwa,धुरवा ∞ ପରଜି,,,https://en.wikipedia.org/wiki/Duruwa_language,https://www.omniglot.com/writing/dhurwa.htm,,
*Dike-999,Dikenga ∞ yowa cross,dikenga dia Kongo ∞ Kongo Cosmogram ∞ Congolese Cosmogram ∞ tendwa kia nza-n' Kongo,,,,,,https://www.unicode.org/L2/L2023/23203-update-african-scripts.pdf#page=13
*Dilm-020,Dilmun,𒉌𒌇,traditional-font-variant,,https://en.wikipedia.org/wiki/Dilmun,,,
*Cyrd-221,Diplomatic Cyrillic minuscule,,traditional-font-variant,,,,,
Disp-999,Dispilio,,,,https://en.wikipedia.org/wiki/Dispilio_Tablet,,,
*Isib-999,Ditema tsa Dinoka,Isibheqe Sohlamvu,traditional-script,,https://en.wikipedia.org/wiki/Ditema_tsa_Dinoko,https://www.omniglot.com/writing/ditema.htm,https://www.endangeredalphabets.net/alphabets/ditema-tsa-dinoko/,
*Dogo-999,Dogon,Shamanic Cosmogram,,,,,https://www.endangeredalphabets.net/dogon-shamanic-symbols/,
*Draf-999,Draft ∞ Cursive ∞ Running ∞ Semi-Cursive,草書 ∞ 行書,,,,https://www.omniglot.com/chinese/written.htm#draft,,
*Drah-220,Drahomanivka,,artificial-font-variant,,https://en.wikipedia.org/wiki/Drahomanivka,,,
*Dren-999,Drenjongkhe,,,,,,https://www.endangeredalphabets.net/drenjongke/,
*Duot-999,Duota,,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qaaf,,,,
*Ayue-999,Early Ayutthaya,Li Thai,,,,,,
*Cune-998,Early Dynastic Cuneiform,,,,https://en.wikipedia.org/wiki/Early_Dynastic_Cuneiform,,,https://www.unicode.org/L2/L2012/12208-n4278-early-dynastic-cuneiform.pdf
*Ecle-999,Eclectic shorthand,,,,https://en.wikipedia.org/wiki/Eclectic_shorthand,,,
*Edoo-999,Edo ∞ Esan,Esan Oracle Rainbow ∞ Bini,,,,,,https://www.unicode.org/L2/L2023/23203-update-african-scripts.pdf#page=13
*Elam-020,Elamite,𒁹𒄬𒆷𒁶𒋾,traditional-font-variant,,https://en.wikipedia.org/wiki/Elamite,https://www.omniglot.com/writing/elamite.htm#cuneiform,,
*Olme-999,Epi-Olmec ∞ Isthmian,La Mojarra,unclassified,,https://en.wikipedia.org/wiki/Isthmian_script,,,
*Ersu-998,Ersu Shaba ∞ Ersu-Shaba ∞ Ersu Shaba Picture Writing,Shaba,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qaag,https://en.wikipedia.org/wiki/Ersu_Shaba_script,,https://www.endangeredalphabets.net/ersu-shaba/,https://www.unicode.org/L2/L2017/17341-ersu-hieroglyphs.pdf
*Eswa-999,Eshkol-Wachman Notation,,artificial-notation,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qaah,https://en.wikipedia.org/wiki/Eshkol-Wachman_movement_notation,,,
*Faye-999,FaYe,Yoruba FaYe,,,,,,
*Fakk-999,Fakkham,Thai Lanna,,,https://en.wikipedia.org/wiki/Fakkham_script,,,
*Feer-999,Feera,Afar ∞ Qafaraf,,,,,,
*Fing-999,Fingerspelling,Manual Alphabet,,,https://en.wikipedia.org/wiki/Fingerspelling,,,
*Fins-999,Fingerspelling (2 Hands),Manual Alphabet,,,https://en.wikipedia.org/wiki/Two-handed_manual_alphabets,,,
*Fiol-221,Fiol's Octoechos,,artificial-font-variant,,https://en.wikipedia.org/wiki/Fiol%27s_Octoechos,,,
*Firm-999,Firmas,,,,,,https://www.endangeredalphabets.net/firmas/,
*Sema-999,Flag Semaphore,INTERCO,artificial-notation,,,https://www.omniglot.com/writing/semaphore.htm,,
*Foxi-215,Fox I,,traditional-font-variant,,https://en.wikipedia.org/wiki/Fox_language#Writing_systems,https://www.omniglot.com/writing/foxalphabet.htm,,
*Foxj-215,Fox II,,traditional-font-variant,,https://en.wikipedia.org/wiki/Fox_language#Writing_systems,https://www.omniglot.com/writing/foxalphabet.htm,,
*Fulb-999,Fula (Ba) ∞ Fula Ba,,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa02,,https://omniglot.com/writing/fula.htm,https://www.endangeredalphabets.net/fula-ba/,
*Fuld-999,Fula (Dita) ∞ Fula Dita,,traditional-script,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa01,,https://omniglot.com/writing/fula.htm,https://www.endangeredalphabets.net/fula-dita/,
*Ghsc-999,GHS hazard,,artificial-notation,,https://en.wikipedia.org/wiki/Globally_Harmonized_System_of_Classification_and_Labelling_of_Chemicals,,,
*Gasa-999,Ga,Ga Samai,,,,,,
*Gabe-999,Gabelsberger Shorthand,,,,https://en.wikipedia.org/wiki/Gabelsberger_shorthand,,,
*Gada-999,Gadaba,Gutub ∞ Mogililu ∞ Modililu,,,,https://www.omniglot.com/writing/gadaba.htm,,
*Gaga-999,Gagarit Abada,Kadazandusun ∞ Pimato,,,,https://www.omniglot.com/conscripts/gagarit.htm,https://www.endangeredalphabets.net/gagarit-abada/,
*Gaud-999,Gaudi ∞ Proto-Bengali ∞ Proto Bengali,,,,https://en.wikipedia.org/wiki/Gaudi_script,,,
*Gayo-999,Gayo,Aksara Gayo ∞ Rasi Gayo,,,,,,
*Gbek-999,Gbekoun ∞ Gbékoun,,traditional-script,,,,https://www.endangeredalphabets.net/gbekoun/,
*Geog-999,Geoglyph ∞ Petroform ∞ Petrosomatoglyph,,,,https://en.wikipedia.org/wiki/Geoglyph,,,
*Geom-999,Geomancy,,,,,,,https://www.unicode.org/L2/L2023/23218-geomancy.pdf
*Geoy-999,Geomancy ∞ Geomantic Figure,,,,https://en.wikipedia.org/wiki/Geomantic_figures,,,https://www.unicode.org/L2/L2023/23218-geomancy.pdf
*Gica-999,Gicandi ∞ Gĩcandĩ,Kikuyu,,,,,https://www.endangeredalphabets.net/gicandi/),
*Goba-999,Goba,Tompa,,,,,,
*Gola-999,Gola,,,,,,https://www.endangeredalphabets.net/gola/,
*Golm-999,Golmol,गोलमोल लिपि,,,,,,
*Muse-998,Gongche ∞ Gongche Notations,,traditional-notation,,,,,https://www.unicode.org/L2/L2017/17087-gonche-notation.pdf
*Gotr-211,Gothic runes,,,,https://en.wikipedia.org/wiki/Gothic_runic_inscriptions,https://omniglot.com/writing/gothicrunes.htm,,
*Goud-999,Goudu,,,,,https://www.omniglot.com/writing/goudu.htm,,
*Goul-999,Goulsse,,traditional-script,,,https://www.omniglot.com/conscripts/goulsse.htm,https://www.endangeredalphabets.net/goulsse/,
*Grak-999,Grakliani,,unclassified,,https://en.wikipedia.org/wiki/Grakliani_Hill,,,
*Grap-999,Grantha (Pandya) ∞ Velvikudi,Pandya Grantha,,,https://en.wikipedia.org/wiki/Velvikudi_inscription,,,
*Greb-200,Greek (Byzantine),,traditional-font-variant,,,,,
*Greu-200,Greek Uncial,,traditional-font-variant,,https://en.wikipedia.org/wiki/Uncial_script,,,
*Grem-200,Greek minuscule,,traditional-font-variant,,https://en.wikipedia.org/wiki/Greek_minuscule,,,
*Greg-999,Gregg Shorthand,,,,https://en.wikipedia.org/wiki/Gregg_shorthand,https://www.omniglot.com/writing/shorthand.htm,,
*Gugy-999,Gugyeol ∞ Kwukyel,구결 ∞ 口訣 ∞ 입겿,,,https://en.wikipedia.org/wiki/Gugyeol,,,
*Gukj-999,Gukja,,,,https://en.wikipedia.org/wiki/Hanja#Gukja,,,
*Gupk-300,Gupta-Krishna ∞ Kistna,,traditional-font-variant,,,,,
*Gupn-300,Gupta-Narmada ∞ Narbada,,traditional-font-variant,,,,,
*Halb-999,Halbi Lipi,,traditional-script,,,https://www.omniglot.com/writing/halbilipi.htm,,
*Unch-215,Half-Uncial,Semi Uncial,traditional-font-variant,,https://en.wikipedia.org/wiki/Uncial_script#Half-uncial,,,
*Hamn-999,HamNoSys Notation ∞ Hamburg Notation System,,artificial-notation,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qabn,https://en.wikipedia.org/wiki/Hamburg_Notation_System,,,
Hanb-503,Han (Bopomofo),,traditional-font-variant,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Hanb,,,,
