graph-set-id,exonym,endonym,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
*Adin-998,Adinkra,Adinkra,,,https://www.omniglot.com/writing/adinkra.htm,,https://www.unicode.org/L2/L2021/21020-adinkra.pdf
Adlm-166,Adlam,𞤀𞤣𞤤𞤢𞤥 ∞ ADLaM (Alkule Dandayɗe Leñol Mulugol),https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Adlm,https://en.wikipedia.org/wiki/Adlam_script,https://www.omniglot.com/writing/adlam.htm,,https://www.unicode.org/L2/L2013/13191-n4488-adlam.pdf
Ahom-338,Ahom ∞ âhom,𑜒𑜑𑜪𑜨 ∞ Ahom ∞ Tai Ahom,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Ahom,https://en.wikipedia.org/wiki/Ahom_script,https://www.omniglot.com/writing/ahom.htm,,https://www.unicode.org/L2/L2012/12309r-n4321r.pdf
Hluw-080,Anatolian hieroglyphs ∞ Luwian Hieroglyphs ∞ Hittite Hieroglyphs ∞ hiéroglyphes anatoliens ∞ hiéroglyphes louvites,𔗷𔗬𔑈𔓯,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Hluw,https://en.wikipedia.org/wiki/Anatolian_hieroglyphs,https://omniglot.com/writing/luwian.htm,,https://www.unicode.org/L2/L2012/12213-n4282-anatolian.pdf
Sarb-105,Ancient South Arabian ∞ Old South Arabian ∞ sud-arabique ∞ himyarite ∞ Sayhadic,𐩣𐩯𐩬𐩵 ∞ 𐩫𐩡𐩨𐩧,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Sarb,https://en.wikipedia.org/wiki/Ancient_South_Arabian_script,https://omniglot.com/writing/southarabian.htm,,https://www.unicode.org/L2/L2007/07287-n3296-south-arabian.pdf
Armn-230,Armenian ∞ arménien,Հայոց գրեր ∞ ԲբՈո,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Armn,https://en.wikipedia.org/wiki/Armenian_numerals,https://www.omniglot.com/writing/armenian.htm,,
Avst-134,Avestan ∞ avestique,𐬀𐬬𐬯𐬙𐬁𐬥 ∞ 𐬑𐬀𐬭𐬛,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Avst,https://en.wikipedia.org/wiki/Avestan_alphabet,https://omniglot.com/writing/avestan.htm,,https://www.unicode.org/L2/L2007/07006r-n3197r-avestan.pdf
*Avoi-999,Avoiuli,Avoiuli,,https://en.wikipedia.org/wiki/Avoiuli,https://www.omniglot.com/writing/avoiuli.htm,,
*Bada-998,Badaga ∞ Badugu,படுகு ∞ ಬಡಗ,,https://en.wikipedia.org/wiki/Badaga_language,https://omniglot.com/writing/badagu.htm,,https://www.unicode.org/L2/L2022/22220-introducing-badagu-script.pdf
*Baga-999,Bagam ∞ Mengaka,Bagam,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qabh,https://en.wikipedia.org/wiki/Bagam_script,,,https://www.unicode.org/L2/L2012/12229-n4293-bagam.pdf
